Time,kx,ky,Amp
0,0,0,0
0,1,0,0
0,2,0,0
0,3,0,0
0,4,0,0
0,5,0,0
0,6,0,0
0,7,0,0
0,8,0,0
0,9,0,0
0,10,0,0
0,11,0,0
0,12,0,0
0,13,0,0
0,14,0,0
0,15,0,0
0,16,0,0
0,17,0,0
0,18,0,0
0,19,0,0
0,20,0,0
0,21,0,0
0,22,0,0
0,23,0,0
0,24,0,0
0,25,0,0
0,26,0,0
0,27,0,0
0,28,0,0
0,29,0,0
0,30,0,0
0,31,0,0
0,0,1,1.22E-21
0,1,1,2.05E-05
0,2,1,8.61E-22
0,3,1,4.74E-22
0,4,1,4.12E-22
0,5,1,1.07E-21
0,6,1,1.28E-21
0,7,1,2.43E-21
0,8,1,1.04E-21
0,9,1,5.88E-22
0,10,1,4.57E-22
0,11,1,7.02E-22
0,12,1,1.48E-22
0,13,1,3.63E-22
0,14,1,6.06E-22
0,15,1,4.20E-22
0,16,1,1.11E-21
0,17,1,1.83E-21
0,18,1,1.18E-21
0,19,1,9.27E-22
0,20,1,8.44E-22
0,21,1,1.01E-21
0,22,1,9.63E-22
0,23,1,1.52E-22
0,24,1,4.72E-22
0,25,1,1.02E-21
0,26,1,1.16E-22
0,27,1,6.40E-22
0,28,1,6.94E-22
0,29,1,2.53E-22
0,30,1,9.44E-22
0,31,1,1.59E-21
0,0,2,1.93E-24
0,1,2,1.16E-21
0,2,2,5.40E-24
0,3,2,2.93E-23
0,4,2,1.79E-24
0,5,2,1.12E-23
0,6,2,3.28E-24
0,7,2,8.69E-23
0,8,2,9.47E-24
0,9,2,1.00E-22
0,10,2,6.76E-24
0,11,2,2.84E-23
0,12,2,1.03E-23
0,13,2,4.76E-24
0,14,2,2.27E-24
0,15,2,7.13E-23
0,16,2,5.32E-24
0,17,2,5.05E-23
0,18,2,8.33E-24
0,19,2,3.57E-23
0,20,2,2.82E-24
0,21,2,3.03E-23
0,22,2,8.94E-24
0,23,2,1.09E-22
0,24,2,6.84E-24
0,25,2,2.96E-23
0,26,2,6.98E-24
0,27,2,2.82E-23
0,28,2,8.56E-24
0,29,2,8.32E-24
0,30,2,1.10E-23
0,31,2,2.80E-22
0,0,3,3.31E-23
0,1,3,1.24E-21
0,2,3,2.67E-23
0,3,3,4.94E-23
0,4,3,2.96E-23
0,5,3,4.70E-23
0,6,3,2.21E-23
0,7,3,1.39E-22
0,8,3,3.87E-23
0,9,3,1.11E-22
0,10,3,1.49E-23
0,11,3,6.51E-23
0,12,3,1.57E-23
0,13,3,8.39E-23
0,14,3,1.19E-23
0,15,3,1.15E-22
0,16,3,7.36E-24
0,17,3,1.69E-22
0,18,3,9.03E-24
0,19,3,1.25E-22
0,20,3,1.37E-23
0,21,3,4.28E-23
0,22,3,2.39E-24
0,23,3,5.19E-23
0,24,3,2.95E-23
0,25,3,7.14E-23
0,26,3,2.37E-23
0,27,3,6.08E-23
0,28,3,2.19E-23
0,29,3,8.99E-23
0,30,3,2.71E-23
0,31,3,2.44E-22
0,0,4,6.29E-24
0,1,4,8.07E-22
0,2,4,1.24E-23
0,3,4,1.91E-23
0,4,4,1.67E-23
0,5,4,1.18E-23
0,6,4,8.39E-24
0,7,4,9.44E-23
0,8,4,5.09E-24
0,9,4,7.97E-23
0,10,4,1.20E-23
0,11,4,1.46E-23
0,12,4,1.04E-23
0,13,4,3.01E-23
0,14,4,9.30E-25
0,15,4,1.07E-22
0,16,4,5.07E-24
0,17,4,1.13E-22
0,18,4,2.86E-24
0,19,4,4.76E-23
0,20,4,8.12E-24
0,21,4,2.15E-23
0,22,4,1.12E-23
0,23,4,1.21E-22
0,24,4,7.06E-24
0,25,4,9.26E-23
0,26,4,9.35E-24
0,27,4,4.87E-23
0,28,4,2.74E-24
0,29,4,6.57E-23
0,30,4,9.80E-24
0,31,4,1.38E-22
0,0,5,9.82E-24
0,1,5,5.76E-22
0,2,5,1.03E-23
0,3,5,5.30E-23
0,4,5,1.17E-23
0,5,5,7.35E-23
0,6,5,1.56E-23
0,7,5,2.07E-23
0,8,5,2.13E-23
0,9,5,4.31E-23
0,10,5,1.62E-23
0,11,5,2.37E-23
0,12,5,1.03E-23
0,13,5,9.08E-23
0,14,5,2.76E-23
0,15,5,9.47E-23
0,16,5,2.10E-23
0,17,5,1.14E-22
0,18,5,7.14E-24
0,19,5,9.09E-23
0,20,5,1.49E-23
0,21,5,7.43E-23
0,22,5,5.43E-24
0,23,5,6.37E-23
0,24,5,1.31E-23
0,25,5,3.69E-23
0,26,5,2.22E-23
0,27,5,4.18E-23
0,28,5,1.65E-23
0,29,5,7.38E-23
0,30,5,9.38E-24
0,31,5,2.46E-22
0,0,6,3.25E-24
0,1,6,1.00E-22
0,2,6,1.02E-23
0,3,6,3.76E-23
0,4,6,1.85E-24
0,5,6,2.84E-23
0,6,6,7.19E-24
0,7,6,3.36E-23
0,8,6,3.59E-24
0,9,6,5.51E-23
0,10,6,4.55E-24
0,11,6,2.37E-23
0,12,6,3.88E-24
0,13,6,3.07E-23
0,14,6,4.88E-24
0,15,6,6.56E-23
0,16,6,3.29E-24
0,17,6,4.54E-23
0,18,6,5.26E-24
0,19,6,1.32E-23
0,20,6,5.44E-24
0,21,6,1.65E-23
0,22,6,5.59E-24
0,23,6,4.89E-23
0,24,6,5.09E-24
0,25,6,4.92E-23
0,26,6,1.87E-24
0,27,6,1.78E-23
0,28,6,6.86E-24
0,29,6,1.16E-23
0,30,6,9.33E-24
0,31,6,1.91E-23
0,0,7,6.07E-24
0,1,7,4.00E-22
0,2,7,2.23E-23
0,3,7,2.63E-23
0,4,7,3.83E-23
0,5,7,3.49E-23
0,6,7,3.81E-23
0,7,7,5.91E-23
0,8,7,2.62E-23
0,9,7,5.63E-23
0,10,7,1.17E-23
0,11,7,8.65E-24
0,12,7,2.54E-23
0,13,7,5.76E-23
0,14,7,3.36E-23
0,15,7,1.60E-22
0,16,7,4.45E-23
0,17,7,2.15E-22
0,18,7,2.43E-23
0,19,7,6.15E-24
0,20,7,1.03E-23
0,21,7,7.54E-23
0,22,7,2.41E-23
0,23,7,5.94E-23
0,24,7,3.63E-23
0,25,7,8.77E-23
0,26,7,3.12E-23
0,27,7,7.15E-23
0,28,7,3.18E-23
0,29,7,8.09E-23
0,30,7,1.24E-23
0,31,7,3.58E-23
0,0,8,1.13E-24
0,1,8,2.51E-22
0,2,8,5.71E-24
0,3,8,9.98E-24
0,4,8,5.55E-24
0,5,8,1.19E-23
0,6,8,8.15E-24
0,7,8,7.87E-23
0,8,8,2.80E-24
0,9,8,7.08E-23
0,10,8,4.02E-24
0,11,8,1.66E-23
0,12,8,5.32E-24
0,13,8,1.08E-23
0,14,8,4.73E-24
0,15,8,8.41E-23
0,16,8,1.95E-24
0,17,8,7.42E-23
0,18,8,8.56E-24
0,19,8,1.34E-23
0,20,8,4.57E-24
0,21,8,8.97E-24
0,22,8,1.51E-24
0,23,8,8.09E-23
0,24,8,5.39E-24
0,25,8,5.93E-23
0,26,8,6.64E-24
0,27,8,3.09E-23
0,28,8,4.85E-24
0,29,8,1.97E-23
0,30,8,4.21E-24
0,31,8,8.40E-23
0,0,9,2.47E-23
0,1,9,5.89E-22
0,2,9,2.20E-23
0,3,9,4.74E-23
0,4,9,1.73E-23
0,5,9,1.01E-22
0,6,9,3.25E-23
0,7,9,4.57E-23
0,8,9,3.69E-23
0,9,9,2.52E-23
0,10,9,2.07E-23
0,11,9,2.45E-23
0,12,9,2.05E-23
0,13,9,4.46E-23
0,14,9,1.58E-23
0,15,9,1.20E-22
0,16,9,4.50E-23
0,17,9,1.00E-22
